Zeitstempel,How many maintainers does your project have? (Average Number including you),How many contributors does your project have? (Average Number excluding maintainers),How much time do you invest in programming your project? (Average hours per week),How much time do you invest to manage your project or maintainers / contributors? (Average hours per week),How much time do you invest to raise funds / monetize your project? (Average hours per week),Do you want to monetize your project?,"Would you work full-time on your project, if you could find a stable monetization mechanism (i.e., get a full salary)?",How much money would you need to comfortably work full-time on your project? (please convert roughly in US-Dollar per month),In which country do you live? (to give a context to your money need),How do you currently (try to) monetize?,What's stopping you from monetizing your OSS project? (if you are interested at all) [Raising Private Donations],What's stopping you from monetizing your OSS project? (if you are interested at all) [Applying for Corporate Sponsorship],What's stopping you from monetizing your OSS project? (if you are interested at all) [Applying for Grants / Stipends],What's stopping you from monetizing your OSS project? (if you are interested at all) [Using Dual / Multi-License],What's stopping you from monetizing your OSS project? (if you are interested at all) [Using Open Core / Paid Premium],What's stopping you from monetizing your OSS project? (if you are interested at all) [Using Sponsorware / Delayed Open-source],What's stopping you from monetizing your OSS project? (if you are interested at all) [Using Paid Feature Development],"What's stopping you from monetizing your OSS project? (if you are interested at all) [Using Crowdfund via Kickstarter, …]",What's stopping you from monetizing your OSS project? (if you are interested at all) [Offering Paid Support & Consultation],What's stopping you from monetizing your OSS project? (if you are interested at all) [Offering Paid Training & Certifications],What's stopping you from monetizing your OSS project? (if you are interested at all) [Offering Paid Online Courses],What's stopping you from monetizing your OSS project? (if you are interested at all) [Creating Paid Extensions / Plugins / Tools],What's stopping you from monetizing your OSS project? (if you are interested at all) [Creating Paid Merchandise],What's stopping you from monetizing your OSS project? (if you are interested at all) [Offering Paid Hosting & SLAs / (Open) SaaS],What's stopping you from monetizing your OSS project? (if you are interested at all) [Using Advertisements],Would you accept corporate sponsorships that funds a full-time developer for your project?,How much of their Revenue (in Percent) should companies contribute to OSS?,"Would you force companies to contribute money (e.g., via Dual Licenses) if it was easy for you?"
24.03.2022 07:30:58,1,0,1,2,0,Yes,"Yes, I would go full-time",130000,United States of America,buymeacoffee.com,"income is too unreliable, yields not enough income",,,,,,,,,,,,,,,2,10,"2"
27.03.2022 19:11:14,1,0,2,0,0,Yes,"No, spare-time is OK",120000,United States of America,I'm not monetizing yet - but maybe in the future,requires too much effort to set-up,requires too much effort to set-up,requires too much effort to set-up,,,,,,,,,,,,,1,3,"3"
22.03.2022 02:19:54,1,0,1,0,0,No,"Yes, I would go full-time",100000,United States of America,I'm not monetizing yet - and not planning on doing so,,,,,,,,,,,,,,,,3,5,"4"
31.03.2022 02:37:58,1,15,2,0,0,No,"No, spare-time is OK",100000,United States of America,Private Donations (one-time or subscriptions),,,,,,,,,,,,,,,,1,0,"1"
21.03.2022 11:07:11,2,40,1,2,0,No,"I would prefer part-time",50000,Spain,I'm not monetizing yet - but maybe in the future,"requires too much effort to keep it going, income is too unreliable, yields not enough income",requires too much effort to set-up,requires too much effort to set-up,,,,,"requires too much effort to set-up, requires too much effort to keep it going, yields not enough income",requires too much effort to set-up,requires too much effort to set-up,"requires too much effort to set-up, requires too much effort to keep it going",requires too much effort to set-up,"requires too much effort to keep it going, income is too unreliable",requires too much effort to set-up,"requires too much effort to set-up, income is too unreliable",3,7,"5"
26.03.2022 05:12:40,1,23,5,1,0,Yes,"Yes, I would go full-time",50000,Australia,I'm not monetizing yet - and not planning on doing so,requires too much effort to set-up,,,,,,,,,,,,,,,5,1,"1"
26.03.2022 17:38:43,1,5,0.5,0.2,0,No,"No, spare-time is OK",40000,United States of America,I'm not monetizing yet - and not planning on doing so,,,,,,,,,,,,,,,,5,0,"1"
21.03.2022 04:57:58,2,5,8,2,0,Yes,"I would prefer part-time",20000,United States of America,I'm not monetizing yet - but maybe in the future,,,,,,,,,,,,,,,,5,5,"3"
20.03.2022 21:47:39,1,3,2,1,0,Yes,"Yes, I would go full-time",20000,United States of America,"Private Donations (one-time or subscriptions), Corporate Sponsorship",,,,,,,,,,,,,,,,5,10,"1"
31.03.2022 23:17:54,1,0,1,0,0,No,"No, spare-time is OK",18000,United States of America,"I'm not monetizing yet - and not planning on doing so, Private Donations (one-time or subscriptions)",yields not enough income,requires too much effort to set-up,requires too much effort to set-up,"requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going","requires too much effort to set-up, requires too much effort to keep it going",3,5,"1"
